instr,term,enroll,evals,rmd_class,rmd_instr,time,Course_ID,Course_Name,expected_grade,expected_gpa,actual_grade,actual_gpa
"Butler, Elizabeth Annette",SP23,66,48,93.5,100.0,2.8,AAS 10,Intro/African-American Studies (A),A-,3.84,B+,3.67
"Butler, Elizabeth Annette",SP23,20,7,100.0,100.0,2.5,AAS 170,Legacies of Research (A),A-,3.86,A-,3.92
"Shtienberg, Gilad",SP23,26,6,100.0,83.3,3.83,ANAR 115,Coastal Geomorphology/Environ (A),B+,3.5,B,3.07
"Braswell, Geoffrey E.",SP23,22,9,100.0,100.0,5.17,ANAR 155,Stdy Abrd: Ancient Mesoamerica (A),A,4.0,A,4.0
"Hrvoj Mihic, Branka",SP23,22,4,100.0,100.0,2.5,ANBI 111,Human Evolution (A),A,4.0,B-,2.95
"Hrvoj Mihic, Branka",SP23,36,12,63.6,72.7,6.17,ANBI 140,Evolution of Human Brain (A),B,3.0,C+,2.53
"Wilder, Linnea Lorene",SP23,20,6,83.3,83.3,4.83,ANBI 173,How Monkeys See the World (A),B+,3.5,B+,3.51
"Sloane, Julia Kathryn",SP23,38,12,91.7,100.0,3.17,ANSC 101,Aging: Culture&Health/Hum Dev (A),A-,3.75,A-,3.75
"Stewart, Alexander B",SP23,30,20,95.0,100.0,3.45,ANSC 105,Global Health and Inequality (A),A-,3.79,B+,3.67
"Yeh, Rihan Wen Xin",SP23,26,8,75.0,87.5,5.5,ANSC 122,Language in Society (A),B+,3.57,B-,2.88
"Brenner, Suzanne A",SP23,64,29,100.0,100.0,3.6,ANSC 125,"Gender, Sexuality, & Society (A)",B+,3.68,B+,3.57
"Stewart, Alexander B",SP23,36,25,92.0,96.0,4.02,ANSC 137,Chinese Popular Religion (A),B+,3.6,B+,3.4
"Kennemore, Amy Michelle",SP23,44,13,100.0,100.0,5.5,ANSC 142,Anthropology of Latin America (A),A-,3.82,A-,3.83
"Stewart, Alexander B",SP23,30,14,100.0,100.0,4.79,ANSC 147,Global Health and Environment (A),A-,3.79,B+,3.33
"Olivas Hernandez, Olga Lid",SP23,48,9,88.9,77.8,4.28,ANSC 148,Global Health&Cultrl Diversity (A),A-,3.88,B+,3.6
